"logFC","logCPM","PValue","FDR"
"Tcas001194",1.08060535107153,6.00290754748959,0.000566311584818762,0.0198546854579266
"Tcas010798",0.753665513177675,6.2639396718495,0.000569410946021027,0.0198935460581892
"Tcas002255",-0.792021910532986,5.78341530007444,0.000571714120988554,0.0199044163655667
"Tcas006869",-1.03538006153418,8.31797222795772,0.000584462431013438,0.0202775993426607
"Tcas002912",1.14685298462493,8.49292062539178,0.000619263638878497,0.0214106653275915
"Tcas004206",-1.10244890784356,4.58984664102005,0.000625247471304864,0.0214912610781875
"Tcas000780",-1.13375068295261,4.9469779702222,0.000625896414506863,0.0214912610781875
"Tcas001752",2.19702509538285,4.21975029024205,0.000629909462719039,0.0215549840804405
"Tcas001213",-0.742636500731769,5.96744097732136,0.000635996365044624,0.0216889954932624
"Tcas010872",-1.62995622269314,2.16007660783545,0.000638251877278349,0.0216918801284533
"Tcas005816",-1.01830338222493,3.83538544237543,0.000662587561995472,0.0224426268456229
"Tcas003274",-4.25237991792634,2.53434442007938,0.00066696943504045,0.0224637013304498
"Tcas004975",-1.03815498039499,3.13627279691513,0.000667706094389872,0.0224637013304498
"Tcas003480",-1.08669816460835,6.87127551980449,0.000670106548707494,0.0224688074989439
"Tcas009442",-1.46602254192841,1.79218303308063,0.000674525805443588,0.0225413439732185
"Tcas002939",-0.945762053774027,9.95304813935208,0.00067975931078278,0.0226405167778051
"Tcas007724",-0.749259701453836,5.01897007545089,0.000687302271900925,0.02276781426484
"Tcas012455",1.02261925689097,5.218366931291,0.000688206004285878,0.02276781426484
"Tcas004125",2.49780972873503,4.48398204011415,0.000691616581462753,0.02276781426484
"Tcas009631",-1.75048423054449,4.10292056795164,0.000692695710219311,0.02276781426484
"Tcas004714",-4.40794587923164,2.457536935992,0.000708493010637114,0.0232106956140526
"Tcas007383",2.17479121756668,8.31966659774386,0.000712761628730123,0.0232742293930437
"Tcas006779",1.21650544883232,7.65429350338348,0.000731077871083572,0.0237945605467982
"Tcas001333",0.765981571833982,6.22998631242694,0.000737682481783373,0.0239315693440892
"Tcas005222",-2.52436144250806,1.9696647712695,0.000743393094448381,0.0240387825233923
"Tcas009153",0.830833721340281,8.37236470941685,0.000749425228319616,0.0241556673592568
"Tcas008063",1.16000062086103,8.35783072705199,0.000754251541481494,0.0242330591719713
"Tcas009742",0.831355739565551,4.58160282275196,0.000789479149188848,0.0252835758291506
"Tcas003399",-0.977691414449272,8.58801387396316,0.000800679415840824,0.0255603473580879
"Tcas009572",-2.12252731113375,5.15742557077617,0.000811140174540126,0.0258118236433278
"Tcas011068",-3.47503002919458,1.34753694298241,0.000818345305205231,0.0259584326654307
"Tcas011494",1.48892978638172,7.41625994852444,0.000835700071318599,0.0264250478247324
